timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2021-01-25T00:00:00.000Z";"2021-01-25T23:59:59.999Z";"2021-01-25T13:28:09.000Z";"2021-01-25T21:37:09.000Z";"2781";41.87605262;43.35352592;40.63365735;41.62370324;507172505.42;6432226784.1089945;"2021-01-25T23:59:59.999Z"
"2021-01-24T00:00:00.000Z";"2021-01-24T23:59:59.999Z";"2021-01-24T11:35:10.000Z";"2021-01-24T19:34:08.000Z";"2781";40.86247127;42.19152393;40.50406055;41.88160564;450486065.74;6472081159.875043;"2021-01-24T23:59:59.999Z"
"2021-01-23T00:00:00.000Z";"2021-01-23T23:59:59.999Z";"2021-01-23T08:28:08.000Z";"2021-01-23T13:07:09.000Z";"2781";40.86509249;41.85029219;39.5865303;40.8154796;468609052.51;6307329734.309348;"2021-01-23T23:59:59.999Z"
"2021-01-22T00:00:00.000Z";"2021-01-22T23:59:59.999Z";"2021-01-22T19:01:08.000Z";"2021-01-22T01:19:08.000Z";"2781";38.63531118;41.4096934;36.95341517;40.8575696;561072899.07;6313834019.152629;"2021-01-22T23:59:59.999Z"
"2021-01-21T00:00:00.000Z";"2021-01-21T23:59:59.999Z";"2021-01-21T00:03:07.000Z";"2021-01-21T22:40:12.000Z";"2781";42.60602569;42.63518837;38.44939048;38.64584075;621983627.44;5972049399.75342;"2021-01-21T23:59:59.999Z"
"2021-01-20T00:00:00.000Z";"2021-01-20T23:59:59.999Z";"2021-01-20T00:21:07.000Z";"2021-01-20T11:27:07.000Z";"2781";42.66294741;42.7545626;40.3064044;42.60689797;684094132.54;6584162603.966184;"2021-01-20T23:59:59.999Z"
"2021-01-19T00:00:00.000Z";"2021-01-19T23:59:59.999Z";"2021-01-19T13:56:07.000Z";"2021-01-19T19:47:07.000Z";"2781";45.33563939;47.09810273;41.9438908;42.78553342;750638729.06;6622630370.167312;"2021-01-19T23:59:59.999Z"
"2021-01-18T00:00:00.000Z";"2021-01-18T23:59:59.999Z";"2021-01-18T00:54:07.000Z";"2021-01-18T14:39:07.000Z";"2781";45.76753322;46.80380107;44.15646168;45.35317239;586905636.03;6458589310.488169;"2021-01-18T23:59:59.999Z"
"2021-01-17T00:00:00.000Z";"2021-01-17T23:59:59.999Z";"2021-01-17T21:22:09.000Z";"2021-01-17T10:02:09.000Z";"2781";43.15614069;46.65454649;41.09147259;45.68461122;664875512.99;6505788374.761384;"2021-01-17T23:59:59.999Z"
"2021-01-16T00:00:00.000Z";"2021-01-16T23:59:59.999Z";"2021-01-16T13:30:16.000Z";"2021-01-16T05:38:09.000Z";"2781";40.91943351;43.91791782;40.73382243;43.17182726;604218251.94;6147951451.757878;"2021-01-16T23:59:59.999Z"
"2021-01-15T00:00:00.000Z";"2021-01-15T23:59:59.999Z";"2021-01-15T01:34:08.000Z";"2021-01-15T16:11:08.000Z";"2781";41.79495129;42.41105972;39.09546269;40.91898077;562019412.56;5827131331.063355;"2021-01-15T23:59:59.999Z"
"2021-01-14T00:00:00.000Z";"2021-01-14T23:59:59.999Z";"2021-01-14T14:46:08.000Z";"2021-01-14T02:16:08.000Z";"2781";40.11882897;41.87310165;39.65635682;41.79368392;534108764.26;5951694799.001224;"2021-01-14T23:59:59.999Z"
"2021-01-13T00:00:00.000Z";"2021-01-13T23:59:59.999Z";"2021-01-13T23:37:08.000Z";"2021-01-13T01:00:10.000Z";"2781";38.10942625;40.4015426;37.14378158;40.13593172;542384725.14;5715620008.983111;"2021-01-13T23:59:59.999Z"
"2021-01-12T00:00:00.000Z";"2021-01-12T23:59:59.999Z";"2021-01-12T07:57:08.000Z";"2021-01-12T14:38:08.000Z";"2781";38.27951829;39.93091013;37.18550236;38.11160883;567249584.49;5427343147.833651;"2021-01-12T23:59:59.999Z"
"2021-01-11T00:00:00.000Z";"2021-01-11T23:59:59.999Z";"2021-01-11T00:01:08.000Z";"2021-01-11T16:47:08.000Z";"2781";42.47262153;42.47750228;35.17088435;38.37136193;890728693.59;5541076413.420557;"2021-01-11T23:59:59.999Z"
"2021-01-10T00:00:00.000Z";"2021-01-10T23:59:59.999Z";"2021-01-10T00:28:08.000Z";"2021-01-10T20:29:08.000Z";"2781";43.94412275;45.15542018;40.59486495;42.44847546;701488831.55;6129838356.332584;"2021-01-10T23:59:59.999Z"
